[2026-02-25 16:10:12,665] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2026-02-25 16:14:08,833] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,838] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,843] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,848] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,853] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,858] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,865] INFO [Broker id=0] Leader orders-6 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 1489 with partition epoch 0, high watermark 1489, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,866] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,872] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,877] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,883] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,889] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,895] INFO [Broker id=0] Leader orders-9 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 2225 with partition epoch 0, high watermark 2225, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,896] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,902] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,907] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
